©b©c,áK¢ÀúyÊu,√“Ç‰,è≤æöU,‡I‘ÉöU,‡IÎÈöU,ÙÀæöU,•¥è≤æ,óV“ïâT,óV“ï√À,Ç·Ú÷v
2022-12-01,'688579,Ñ\‰Œ»Aéñ,10.54,10.79,9.13,9.25,9.25,1.29,13.9459,14507259
2022-11-30,'688579,Ñ\‰Œ»Aéñ,9.25,9.29,8.96,9.17,9.18,0.07,0.7625,4201036
2022-11-29,'688579,Ñ\‰Œ»Aéñ,9.18,9.22,8.7,8.73,8.77,0.41,4.675,4309833
2022-11-28,'688579,Ñ\‰Œ»Aéñ,8.77,8.95,8.62,8.7,8.81,-0.04,-0.454,1702302
2022-11-25,'688579,Ñ\‰Œ»Aéñ,8.81,8.99,8.78,8.95,8.94,-0.13,-1.4541,1375253
2022-11-24,'688579,Ñ\‰Œ»Aéñ,8.94,9.19,8.85,9.1,9.08,-0.14,-1.5419,1614545
2022-11-23,'688579,Ñ\‰Œ»Aéñ,9.08,9.25,8.82,9.19,9.14,-0.06,-0.6565,2154227
2022-11-22,'688579,Ñ\‰Œ»Aéñ,9.14,9.48,9.08,9.38,9.47,-0.33,-3.4847,3138445
2022-11-21,'688579,Ñ\‰Œ»Aéñ,9.47,9.52,9.26,9.43,9.43,0.04,0.4242,3100194
2022-11-18,'688579,Ñ\‰Œ»Aéñ,9.43,9.93,9.42,9.52,9.57,-0.14,-1.4629,4780851
2022-11-17,'688579,Ñ\‰Œ»Aéñ,9.57,9.58,9.06,9.14,9.17,0.4,4.3621,3978065
2022-11-16,'688579,Ñ\‰Œ»Aéñ,9.17,9.39,9.16,9.32,9.3,-0.13,-1.3978,2760118
2022-11-15,'688579,Ñ\‰Œ»Aéñ,9.3,9.46,9.25,9.36,9.36,-0.06,-0.641,4347147
2022-11-14,'688579,Ñ\‰Œ»Aéñ,9.36,9.38,9.02,9.05,9.16,0.2,2.1834,3620577
2022-11-11,'688579,Ñ\‰Œ»Aéñ,9.16,9.66,9.13,9.55,9.34,-0.18,-1.9272,6392406
2022-11-10,'688579,Ñ\‰Œ»Aéñ,9.34,9.5,9.13,9.2,9.21,0.13,1.4115,4160495
2022-11-09,'688579,Ñ\‰Œ»Aéñ,9.21,9.5,9.1,9.33,9.42,-0.21,-2.2293,2687165
2022-11-08,'688579,Ñ\‰Œ»Aéñ,9.42,9.51,9.1,9.42,9.37,0.05,0.5336,3859224
2022-11-07,'688579,Ñ\‰Œ»Aéñ,9.37,9.79,9.28,9.64,9.51,-0.14,-1.4721,4843007
2022-11-04,'688579,Ñ\‰Œ»Aéñ,9.51,9.71,9.32,9.7,9.56,-0.05,-0.523,4042774
2022-11-03,'688579,Ñ\‰Œ»Aéñ,9.56,9.94,9.42,9.67,9.68,-0.12,-1.2397,4542909
2022-11-02,'688579,Ñ\‰Œ»Aéñ,9.68,9.94,9.66,9.89,9.98,-0.3,-3.006,5887849
2022-11-01,'688579,Ñ\‰Œ»Aéñ,9.98,10.38,9.72,10.38,10.31,-0.33,-3.2008,9577167
2022-10-31,'688579,Ñ\‰Œ»Aéñ,10.31,10.36,9.4,9.4,8.89,1.42,15.973,16743653
2022-10-28,'688579,Ñ\‰Œ»Aéñ,8.89,9.28,8.83,9.28,9.11,-0.22,-2.4149,3898472
2022-10-27,'688579,Ñ\‰Œ»Aéñ,9.11,9.39,9.01,9.21,9.04,0.07,0.7743,4451723
2022-10-26,'688579,Ñ\‰Œ»Aéñ,9.04,9.26,8.47,8.47,8.35,0.69,8.2635,5691810
2022-10-25,'688579,Ñ\‰Œ»Aéñ,8.35,9.2,8.32,9.18,9.19,-0.84,-9.1404,7025317
2022-10-24,'688579,Ñ\‰Œ»Aéñ,9.19,9.72,8.9,9.29,9.05,0.14,1.547,8392153
2022-10-21,'688579,Ñ\‰Œ»Aéñ,9.05,9.37,8.61,8.74,8.26,0.79,9.5642,7501147
2022-10-20,'688579,Ñ\‰Œ»Aéñ,8.26,8.36,8.12,8.26,8.23,0.03,0.3645,1140448
2022-10-19,'688579,Ñ\‰Œ»Aéñ,8.23,8.3,8.14,8.19,8.26,-0.03,-0.3632,872199
